actor_id,first_name,last_name,description,last_update
61,CHRISTIAN,NEESON,NULL,"2006-02-15 04:34:33"
62,JAYNE,NEESON,NULL,"2006-02-15 04:34:33"
63,CAMERON,WRAY,NULL,"2006-02-15 04:34:33"
64,RAY,JOHANSSON,NULL,"2006-02-15 04:34:33"
65,ANGELA,HUDSON,NULL,"2006-02-15 04:34:33"
66,MARY,TANDY,NULL,"2006-02-15 04:34:33"
67,JESSICA,BAILEY,NULL,"2006-02-15 04:34:33"
68,RIP,WINSLET,NULL,"2006-02-15 04:34:33"
69,KENNETH,PALTROW,NULL,"2006-02-15 04:34:33"
70,MICHELLE,MCCONAUGHEY,NULL,"2006-02-15 04:34:33"
71,ADAM,GRANT,NULL,"2006-02-15 04:34:33"
72,SEAN,WILLIAMS,NULL,"2006-02-15 04:34:33"
73,GARY,PENN,NULL,"2006-02-15 04:34:33"
74,MILLA,KEITEL,NULL,"2006-02-15 04:34:33"
75,BURT,POSEY,NULL,"2006-02-15 04:34:33"
76,ANGELINA,ASTAIRE,NULL,"2006-02-15 04:34:33"
77,CARY,MCCONAUGHEY,NULL,"2006-02-15 04:34:33"
78,GROUCHO,SINATRA,NULL,"2006-02-15 04:34:33"
79,MAE,HOFFMAN,NULL,"2006-02-15 04:34:33"
80,RALPH,CRUZ,NULL,"2006-02-15 04:34:33"
81,SCARLETT,DAMON,NULL,"2006-02-15 04:34:33"
82,WOODY,JOLIE,NULL,"2006-02-15 04:34:33"
83,BEN,WILLIS,NULL,"2006-02-15 04:34:33"
84,JAMES,PITT,NULL,"2006-02-15 04:34:33"
85,MINNIE,ZELLWEGER,NULL,"2006-02-15 04:34:33"
86,GREG,CHAPLIN,NULL,"2006-02-15 04:34:33"
87,SPENCER,PECK,NULL,"2006-02-15 04:34:33"
88,KENNETH,PESCI,NULL,"2006-02-15 04:34:33"
89,CHARLIZE,DENCH,NULL,"2006-02-15 04:34:33"
90,SEAN,GUINESS,NULL,"2006-02-15 04:34:33"
91,CHRISTOPHER,BERRY,NULL,"2006-02-15 04:34:33"
92,KIRSTEN,AKROYD,NULL,"2006-02-15 04:34:33"
93,ELLEN,PRESLEY,NULL,"2006-02-15 04:34:33"
94,KENNETH,TORN,NULL,"2006-02-15 04:34:33"
95,DARYL,WAHLBERG,NULL,"2006-02-15 04:34:33"
96,GENE,WILLIS,NULL,"2006-02-15 04:34:33"
97,MEG,HAWKE,NULL,"2006-02-15 04:34:33"
98,CHRIS,BRIDGES,NULL,"2006-02-15 04:34:33"
99,JIM,MOSTEL,NULL,"2006-02-15 04:34:33"
100,SPENCER,DEPP,NULL,"2006-02-15 04:34:33"
101,SUSAN,DAVIS,NULL,"2006-02-15 04:34:33"
102,WALTER,TORN,NULL,"2006-02-15 04:34:33"
103,MATTHEW,LEIGH,NULL,"2006-02-15 04:34:33"
104,PENELOPE,CRONYN,NULL,"2006-02-15 04:34:33"
105,SIDNEY,CROWE,NULL,"2006-02-15 04:34:33"
106,GROUCHO,DUNST,NULL,"2006-02-15 04:34:33"
107,GINA,DEGENERES,NULL,"2006-02-15 04:34:33"
108,WARREN,NOLTE,NULL,"2006-02-15 04:34:33"
109,SYLVESTER,DERN,NULL,"2006-02-15 04:34:33"
110,SUSAN,DAVIS,NULL,"2006-02-15 04:34:33"
111,CAMERON,ZELLWEGER,NULL,"2006-02-15 04:34:33"
112,RUSSELL,BACALL,NULL,"2006-02-15 04:34:33"
113,MORGAN,HOPKINS,NULL,"2006-02-15 04:34:33"
114,MORGAN,MCDORMAND,NULL,"2006-02-15 04:34:33"
115,HARRISON,BALE,NULL,"2006-02-15 04:34:33"
116,DAN,STREEP,NULL,"2006-02-15 04:34:33"
117,RENEE,TRACY,NULL,"2006-02-15 04:34:33"
118,CUBA,ALLEN,NULL,"2006-02-15 04:34:33"
119,WARREN,JACKMAN,NULL,"2006-02-15 04:34:33"
120,PENELOPE,MONROE,NULL,"2006-02-15 04:34:33"
121,LIZA,BERGMAN,NULL,"2006-02-15 04:34:33"
122,SALMA,NOLTE,NULL,"2006-02-15 04:34:33"
123,JULIANNE,DENCH,NULL,"2006-02-15 04:34:33"
124,SCARLETT,BENING,NULL,"2006-02-15 04:34:33"
125,ALBERT,NOLTE,NULL,"2006-02-15 04:34:33"
126,FRANCES,TOMEI,NULL,"2006-02-15 04:34:33"
127,KEVIN,GARLAND,NULL,"2006-02-15 04:34:33"
128,CATE,MCQUEEN,NULL,"2006-02-15 04:34:33"
129,DARYL,CRAWFORD,NULL,"2006-02-15 04:34:33"
130,GRETA,KEITEL,NULL,"2006-02-15 04:34:33"
131,JANE,JACKMAN,NULL,"2006-02-15 04:34:33"
132,ADAM,HOPPER,NULL,"2006-02-15 04:34:33"
133,RICHARD,PENN,NULL,"2006-02-15 04:34:33"
134,GENE,HOPKINS,NULL,"2006-02-15 04:34:33"
135,RITA,REYNOLDS,NULL,"2006-02-15 04:34:33"
136,ED,MANSFIELD,NULL,"2006-02-15 04:34:33"
137,MORGAN,WILLIAMS,NULL,"2006-02-15 04:34:33"
138,LUCILLE,DEE,NULL,"2006-02-15 04:34:33"
139,EWAN,GOODING,NULL,"2006-02-15 04:34:33"
140,WHOOPI,HURT,NULL,"2006-02-15 04:34:33"
141,CATE,HARRIS,NULL,"2006-02-15 04:34:33"
142,JADA,RYDER,NULL,"2006-02-15 04:34:33"
143,RIVER,DEAN,NULL,"2006-02-15 04:34:33"
144,ANGELA,WITHERSPOON,NULL,"2006-02-15 04:34:33"
145,KIM,ALLEN,NULL,"2006-02-15 04:34:33"
146,ALBERT,JOHANSSON,NULL,"2006-02-15 04:34:33"
147,FAY,WINSLET,NULL,"2006-02-15 04:34:33"
148,EMILY,DEE,NULL,"2006-02-15 04:34:33"
149,RUSSELL,TEMPLE,NULL,"2006-02-15 04:34:33"
150,JAYNE,NOLTE,NULL,"2006-02-15 04:34:33"
151,GEOFFREY,HESTON,NULL,"2006-02-15 04:34:33"
152,BEN,HARRIS,NULL,"2006-02-15 04:34:33"
153,MINNIE,KILMER,NULL,"2006-02-15 04:34:33"
154,MERYL,GIBSON,NULL,"2006-02-15 04:34:33"
155,IAN,TANDY,NULL,"2006-02-15 04:34:33"
156,FAY,WOOD,NULL,"2006-02-15 04:34:33"
157,GRETA,MALDEN,NULL,"2006-02-15 04:34:33"
158,VIVIEN,BASINGER,NULL,"2006-02-15 04:34:33"
159,LAURA,BRODY,NULL,"2006-02-15 04:34:33"
160,CHRIS,DEPP,NULL,"2006-02-15 04:34:33"
161,HARVEY,HOPE,NULL,"2006-02-15 04:34:33"
162,OPRAH,KILMER,NULL,"2006-02-15 04:34:33"
163,CHRISTOPHER,WEST,NULL,"2006-02-15 04:34:33"
164,HUMPHREY,WILLIS,NULL,"2006-02-15 04:34:33"
165,AL,GARLAND,NULL,"2006-02-15 04:34:33"
166,NICK,DEGENERES,NULL,"2006-02-15 04:34:33"
167,LAURENCE,BULLOCK,NULL,"2006-02-15 04:34:33"
168,WILL,WILSON,NULL,"2006-02-15 04:34:33"
169,KENNETH,HOFFMAN,NULL,"2006-02-15 04:34:33"
170,MENA,HOPPER,NULL,"2006-02-15 04:34:33"
171,OLYMPIA,PFEIFFER,NULL,"2006-02-15 04:34:33"
172,GROUCHO,WILLIAMS,NULL,"2006-02-15 04:34:33"
173,ALAN,DREYFUSS,NULL,"2006-02-15 04:34:33"
174,MICHAEL,BENING,NULL,"2006-02-15 04:34:33"
175,WILLIAM,HACKMAN,NULL,"2006-02-15 04:34:33"
176,JON,CHASE,NULL,"2006-02-15 04:34:33"
177,GENE,MCKELLEN,NULL,"2006-02-15 04:34:33"
178,LISA,MONROE,NULL,"2006-02-15 04:34:33"
179,ED,GUINESS,NULL,"2006-02-15 04:34:33"
180,JEFF,SILVERSTONE,NULL,"2006-02-15 04:34:33"
181,MATTHEW,CARREY,NULL,"2006-02-15 04:34:33"
182,DEBBIE,AKROYD,NULL,"2006-02-15 04:34:33"
183,RUSSELL,CLOSE,NULL,"2006-02-15 04:34:33"
184,HUMPHREY,GARLAND,NULL,"2006-02-15 04:34:33"
185,MICHAEL,BOLGER,NULL,"2006-02-15 04:34:33"
186,JULIA,ZELLWEGER,NULL,"2006-02-15 04:34:33"
187,RENEE,BALL,NULL,"2006-02-15 04:34:33"
188,ROCK,DUKAKIS,NULL,"2006-02-15 04:34:33"
189,CUBA,BIRCH,NULL,"2006-02-15 04:34:33"
190,AUDREY,BAILEY,NULL,"2006-02-15 04:34:33"
191,GREGORY,GOODING,NULL,"2006-02-15 04:34:33"
192,JOHN,SUVARI,NULL,"2006-02-15 04:34:33"
193,BURT,TEMPLE,NULL,"2006-02-15 04:34:33"
194,MERYL,ALLEN,NULL,"2006-02-15 04:34:33"
195,JAYNE,SILVERSTONE,NULL,"2006-02-15 04:34:33"
196,BELA,WALKEN,NULL,"2006-02-15 04:34:33"
197,REESE,WEST,NULL,"2006-02-15 04:34:33"
198,MARY,KEITEL,NULL,"2006-02-15 04:34:33"
199,JULIA,FAWCETT,NULL,"2006-02-15 04:34:33"
200,THORA,TEMPLE,NULL,"2006-02-15 04:34:33"
